id,claim_id,book_name,k_found,buckets_covered,unique_chapters,split,backend,K,candidate_pool,max_per_chapter,enforce_buckets,run_id
133,133_c01,The Count of Monte Cristo,12,3,2,test,bm25,12,80,12,False,run_20260225_221138
133,133_c02,The Count of Monte Cristo,12,3,2,test,bm25,12,80,12,False,run_20260225_221138
52,52_c01,In search of the castaways,12,2,7,test,bm25,12,80,12,False,run_20260225_221138
52,52_c02,In search of the castaways,12,3,10,test,bm25,12,80,12,False,run_20260225_221138
114,114_c01,The Count of Monte Cristo,12,2,2,test,bm25,12,80,12,False,run_20260225_221138
114,114_c02,The Count of Monte Cristo,12,3,2,test,bm25,12,80,12,False,run_20260225_221138
2,2_c01,In search of the castaways,12,3,8,test,bm25,12,80,12,False,run_20260225_221138
2,2_c02,In search of the castaways,12,2,8,test,bm25,12,80,12,False,run_20260225_221138
2,2_c03,In search of the castaways,12,2,7,test,bm25,12,80,12,False,run_20260225_221138
33,33_c01,In search of the castaways,12,2,7,test,bm25,12,80,12,False,run_20260225_221138
15,15_c01,In search of the castaways,12,2,7,test,bm25,12,80,12,False,run_20260225_221138
82,82_c01,In search of the castaways,12,2,6,test,bm25,12,80,12,False,run_20260225_221138
82,82_c02,In search of the castaways,12,1,4,test,bm25,12,80,12,False,run_20260225_221138
82,82_c03,In search of the castaways,12,1,4,test,bm25,12,80,12,False,run_20260225_221138
37,37_c01,In search of the castaways,12,3,7,test,bm25,12,80,12,False,run_20260225_221138
37,37_c02,In search of the castaways,12,3,8,test,bm25,12,80,12,False,run_20260225_221138
37,37_c03,In search of the castaways,12,3,7,test,bm25,12,80,12,False,run_20260225_221138
37,37_c04,In search of the castaways,12,3,8,test,bm25,12,80,12,False,run_20260225_221138
37,37_c05,In search of the castaways,12,3,9,test,bm25,12,80,12,False,run_20260225_221138
37,37_c06,In search of the castaways,12,3,8,test,bm25,12,80,12,False,run_20260225_221138
3,3_c01,In search of the castaways,12,3,8,test,bm25,12,80,12,False,run_20260225_221138
3,3_c02,In search of the castaways,12,3,9,test,bm25,12,80,12,False,run_20260225_221138
103,103_c01,The Count of Monte Cristo,12,3,2,test,bm25,12,80,12,False,run_20260225_221138
103,103_c02,The Count of Monte Cristo,12,3,2,test,bm25,12,80,12,False,run_20260225_221138
94,94_c01,The Count of Monte Cristo,12,3,2,test,bm25,12,80,12,False,run_20260225_221138
94,94_c02,The Count of Monte Cristo,12,3,2,test,bm25,12,80,12,False,run_20260225_221138
85,85_c01,In search of the castaways,12,1,5,test,bm25,12,80,12,False,run_20260225_221138
85,85_c02,In search of the castaways,12,1,4,test,bm25,12,80,12,False,run_20260225_221138
21,21_c01,In search of the castaways,12,2,8,test,bm25,12,80,12,False,run_20260225_221138
21,21_c02,In search of the castaways,12,3,7,test,bm25,12,80,12,False,run_20260225_221138
49,49_c01,In search of the castaways,12,3,12,test,bm25,12,80,12,False,run_20260225_221138
140,140_c01,The Count of Monte Cristo,12,3,2,test,bm25,12,80,12,False,run_20260225_221138
140,140_c02,The Count of Monte Cristo,12,3,2,test,bm25,12,80,12,False,run_20260225_221138
64,64_c01,In search of the castaways,12,3,7,test,bm25,12,80,12,False,run_20260225_221138
64,64_c02,In search of the castaways,12,2,8,test,bm25,12,80,12,False,run_20260225_221138
64,64_c03,In search of the castaways,12,3,10,test,bm25,12,80,12,False,run_20260225_221138
131,131_c01,The Count of Monte Cristo,12,2,2,test,bm25,12,80,12,False,run_20260225_221138
