id,claim_id,book_name,k_found,buckets_covered,unique_chapters,split,run_id
30,30_c03,In search of the castaways,12,3,1,test,run_20260112_111511
30,30_c04,In search of the castaways,12,3,1,test,run_20260112_111511
97,97_c01,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
97,97_c02,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
22,22_c01,In search of the castaways,12,3,1,test,run_20260112_111511
22,22_c02,In search of the castaways,12,2,1,test,run_20260112_111511
22,22_c03,In search of the castaways,12,2,1,test,run_20260112_111511
53,53_c01,In search of the castaways,12,2,1,test,run_20260112_111511
53,53_c02,In search of the castaways,12,3,1,test,run_20260112_111511
53,53_c03,In search of the castaways,12,3,1,test,run_20260112_111511
58,58_c01,In search of the castaways,12,2,1,test,run_20260112_111511
58,58_c02,In search of the castaways,12,3,1,test,run_20260112_111511
58,58_c03,In search of the castaways,12,3,1,test,run_20260112_111511
81,81_c01,In search of the castaways,12,1,1,test,run_20260112_111511
81,81_c02,In search of the castaways,12,1,1,test,run_20260112_111511
81,81_c03,In search of the castaways,12,1,1,test,run_20260112_111511
81,81_c04,In search of the castaways,12,1,1,test,run_20260112_111511
47,47_c01,In search of the castaways,12,3,1,test,run_20260112_111511
47,47_c02,In search of the castaways,12,2,1,test,run_20260112_111511
7,7_c01,In search of the castaways,12,2,1,test,run_20260112_111511
7,7_c02,In search of the castaways,12,3,1,test,run_20260112_111511
7,7_c03,In search of the castaways,12,3,1,test,run_20260112_111511
121,121_c01,The Count of Monte Cristo,12,2,1,test,run_20260112_111511
121,121_c02,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
129,129_c01,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
51,51_c01,In search of the castaways,12,2,1,test,run_20260112_111511
51,51_c02,In search of the castaways,12,2,1,test,run_20260112_111511
127,127_c01,The Count of Monte Cristo,12,2,1,test,run_20260112_111511
133,133_c01,The Count of Monte Cristo,12,2,1,test,run_20260112_111511
133,133_c02,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
52,52_c01,In search of the castaways,12,2,1,test,run_20260112_111511
52,52_c02,In search of the castaways,12,2,1,test,run_20260112_111511
114,114_c01,The Count of Monte Cristo,12,2,1,test,run_20260112_111511
114,114_c02,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
2,2_c01,In search of the castaways,12,2,1,test,run_20260112_111511
2,2_c02,In search of the castaways,12,2,1,test,run_20260112_111511
2,2_c03,In search of the castaways,12,2,1,test,run_20260112_111511
33,33_c01,In search of the castaways,12,3,1,test,run_20260112_111511
15,15_c01,In search of the castaways,12,2,1,test,run_20260112_111511
82,82_c01,In search of the castaways,12,2,1,test,run_20260112_111511
82,82_c02,In search of the castaways,12,2,1,test,run_20260112_111511
82,82_c03,In search of the castaways,12,1,1,test,run_20260112_111511
37,37_c01,In search of the castaways,12,3,1,test,run_20260112_111511
37,37_c02,In search of the castaways,12,3,1,test,run_20260112_111511
37,37_c03,In search of the castaways,12,3,1,test,run_20260112_111511
37,37_c04,In search of the castaways,12,3,1,test,run_20260112_111511
37,37_c05,In search of the castaways,12,3,1,test,run_20260112_111511
37,37_c06,In search of the castaways,12,3,1,test,run_20260112_111511
3,3_c01,In search of the castaways,12,3,1,test,run_20260112_111511
3,3_c02,In search of the castaways,12,2,1,test,run_20260112_111511
103,103_c01,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
103,103_c02,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
94,94_c01,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
94,94_c02,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
85,85_c01,In search of the castaways,12,1,1,test,run_20260112_111511
85,85_c02,In search of the castaways,12,1,1,test,run_20260112_111511
21,21_c01,In search of the castaways,12,3,1,test,run_20260112_111511
21,21_c02,In search of the castaways,12,3,1,test,run_20260112_111511
49,49_c01,In search of the castaways,12,2,1,test,run_20260112_111511
140,140_c01,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
140,140_c02,The Count of Monte Cristo,12,2,1,test,run_20260112_111511
64,64_c01,In search of the castaways,12,3,1,test,run_20260112_111511
64,64_c02,In search of the castaways,12,2,1,test,run_20260112_111511
64,64_c03,In search of the castaways,12,3,1,test,run_20260112_111511
131,131_c01,The Count of Monte Cristo,12,2,1,test,run_20260112_111511
131,131_c02,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
61,61_c01,In search of the castaways,12,3,1,test,run_20260112_111511
61,61_c02,In search of the castaways,12,2,1,test,run_20260112_111511
86,86_c01,In search of the castaways,12,1,1,test,run_20260112_111511
86,86_c02,In search of the castaways,12,1,1,test,run_20260112_111511
86,86_c03,In search of the castaways,12,1,1,test,run_20260112_111511
38,38_c01,In search of the castaways,12,3,1,test,run_20260112_111511
38,38_c02,In search of the castaways,12,3,1,test,run_20260112_111511
38,38_c03,In search of the castaways,12,3,1,test,run_20260112_111511
132,132_c01,The Count of Monte Cristo,12,2,1,test,run_20260112_111511
132,132_c02,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
77,77_c01,In search of the castaways,12,2,1,test,run_20260112_111511
70,70_c01,In search of the castaways,12,1,1,test,run_20260112_111511
70,70_c02,In search of the castaways,12,1,1,test,run_20260112_111511
70,70_c03,In search of the castaways,12,2,1,test,run_20260112_111511
70,70_c04,In search of the castaways,12,1,1,test,run_20260112_111511
115,115_c01,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
115,115_c02,The Count of Monte Cristo,12,2,1,test,run_20260112_111511
78,78_c01,In search of the castaways,12,1,1,test,run_20260112_111511
78,78_c02,In search of the castaways,12,2,1,test,run_20260112_111511
78,78_c03,In search of the castaways,12,1,1,test,run_20260112_111511
78,78_c04,In search of the castaways,12,1,1,test,run_20260112_111511
78,78_c05,In search of the castaways,12,2,1,test,run_20260112_111511
87,87_c01,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
87,87_c02,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
87,87_c03,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
75,75_c01,In search of the castaways,12,1,1,test,run_20260112_111511
75,75_c02,In search of the castaways,12,1,1,test,run_20260112_111511
75,75_c03,In search of the castaways,12,1,1,test,run_20260112_111511
44,44_c01,In search of the castaways,12,3,1,test,run_20260112_111511
44,44_c02,In search of the castaways,12,3,1,test,run_20260112_111511
44,44_c03,In search of the castaways,12,3,1,test,run_20260112_111511
